epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1746,0.86208,2.19463,1.23588,0.01238,0.92338,0.80976,0.48853,0.86778,2.40695,1.24929,0.0005,0.0005,0.0005
2,42.7609,1.04295,1.48962,1.36215,0.61888,0.47059,0.49499,0.2494,1.26665,2.29386,1.80394,0.000999804,0.000999804,0.000999804
3,48.0237,1.06944,1.37888,1.35396,0.41056,0.36765,0.34123,0.16622,1.84505,2.52579,2.29773,0.00147902,0.00147902,0.00147902
4,54.3309,1.11374,1.32774,1.36089,0.44624,0.54512,0.43126,0.17921,1.68184,2.17987,2.49915,0.0018812,0.0018812,0.0018812
5,59.5549,1.16096,1.35751,1.39171,0.48397,0.52206,0.4831,0.23272,1.52418,2.16162,2.07384,0.0018416,0.0018416,0.0018416
6,65.2496,1.12271,1.27297,1.39518,0.63165,0.67647,0.71238,0.40063,1.23766,2.23768,1.61759,0.001802,0.001802,0.001802
7,70.7505,1.12443,1.23827,1.36376,0.79067,0.74265,0.78714,0.44073,1.26633,1.46007,1.60544,0.0017624,0.0017624,0.0017624
8,75.9252,1.09902,1.19557,1.36111,0.54943,0.62765,0.55289,0.32821,1.27107,2.00549,1.62078,0.0017228,0.0017228,0.0017228
9,82.2082,1.04925,1.11749,1.32149,0.70679,0.61029,0.70907,0.38043,1.38956,1.64113,1.63504,0.0016832,0.0016832,0.0016832
10,87.4794,1.05521,1.15994,1.32086,0.77166,0.64706,0.74726,0.44872,1.22628,1.40014,1.61185,0.0016436,0.0016436,0.0016436
11,93.6632,1.05898,1.04971,1.31064,0.60008,0.69853,0.62542,0.25361,1.73532,1.75508,2.15197,0.001604,0.001604,0.001604
12,98.8533,1.07436,1.12072,1.3454,0.81433,0.7095,0.80534,0.5195,1.13834,1.18293,1.42867,0.0015644,0.0015644,0.0015644
13,105.029,0.94369,0.99925,1.26961,0.85491,0.66176,0.7493,0.46986,1.27929,1.19619,1.56584,0.0015248,0.0015248,0.0015248
14,110.178,0.94949,0.97808,1.26316,0.9016,0.74114,0.84469,0.52328,1.23849,1.13434,1.5557,0.0014852,0.0014852,0.0014852
15,115.542,0.98028,0.95104,1.28323,0.66356,0.71324,0.69535,0.45436,1.2448,1.36344,1.57371,0.0014456,0.0014456,0.0014456
16,121.198,0.95373,0.9344,1.25563,0.75633,0.75735,0.79318,0.49858,1.12973,1.2202,1.50229,0.001406,0.001406,0.001406
17,126.301,1.0073,0.96108,1.28239,0.74081,0.75735,0.80145,0.53565,1.02484,1.06541,1.36805,0.0013664,0.0013664,0.0013664
18,132.415,0.93211,0.95841,1.24525,0.84123,0.75,0.82239,0.53109,1.12362,1.17907,1.40876,0.0013268,0.0013268,0.0013268
19,137.493,0.92969,0.931,1.24956,0.92906,0.80882,0.89227,0.60917,1.0867,0.88005,1.43391,0.0012872,0.0012872,0.0012872
20,143.68,0.90646,0.86986,1.23455,0.83986,0.74265,0.83679,0.50291,1.29753,1.10651,1.60264,0.0012476,0.0012476,0.0012476
21,148.754,0.86472,0.83833,1.20792,0.90618,0.77206,0.8799,0.5912,1.07255,0.91767,1.38234,0.001208,0.001208,0.001208
22,154.492,0.88598,0.8693,1.21978,0.90843,0.80246,0.88899,0.61124,1.00826,0.86356,1.3507,0.0011684,0.0011684,0.0011684
23,159.924,0.85215,0.82027,1.19787,0.92913,0.77941,0.88662,0.60481,1.10675,0.89411,1.4444,0.0011288,0.0011288,0.0011288
24,165.168,0.90764,0.83585,1.23426,0.86051,0.86188,0.90198,0.59395,1.06345,0.78801,1.36615,0.0010892,0.0010892,0.0010892
25,171.372,0.84306,0.8124,1.19051,0.84047,0.85226,0.90266,0.59502,1.04316,0.84806,1.34007,0.0010496,0.0010496,0.0010496
26,176.561,0.81513,0.76511,1.18273,0.79771,0.63971,0.80017,0.52028,1.0831,1.09029,1.35144,0.00101,0.00101,0.00101
27,182.868,0.81084,0.75401,1.17082,0.89313,0.86026,0.90432,0.64479,0.94128,0.74269,1.24612,0.0009704,0.0009704,0.0009704
28,188.07,0.79172,0.74666,1.1605,0.9282,0.81618,0.91384,0.65809,0.95556,0.72853,1.26917,0.0009308,0.0009308,0.0009308
29,194.23,0.83312,0.72219,1.19007,0.95176,0.79412,0.90518,0.62437,1.04664,0.74708,1.371,0.0008912,0.0008912,0.0008912
30,199.318,0.8108,0.75489,1.18218,0.91508,0.83088,0.91265,0.67049,0.92235,0.72541,1.27286,0.0008516,0.0008516,0.0008516
31,204.857,0.7597,0.70153,1.15447,0.87763,0.8438,0.90112,0.64696,0.9986,0.73484,1.30695,0.000812,0.000812,0.000812
32,210.336,0.74648,0.67513,1.14269,0.9456,0.84559,0.92424,0.67679,0.90101,0.68508,1.25161,0.0007724,0.0007724,0.0007724
33,215.444,0.76784,0.69035,1.15893,0.92282,0.81618,0.9078,0.65672,0.94172,0.72153,1.28225,0.0007328,0.0007328,0.0007328
34,221.625,0.76841,0.71067,1.14401,0.93617,0.80882,0.90064,0.66322,0.89914,0.68768,1.27749,0.0006932,0.0006932,0.0006932
35,226.729,0.81523,0.72576,1.18349,0.9033,0.82423,0.9065,0.66567,0.89102,0.68871,1.28588,0.0006536,0.0006536,0.0006536
36,233.045,0.73631,0.6517,1.13342,0.87083,0.82353,0.87675,0.65216,0.93305,0.7439,1.31893,0.000614,0.000614,0.000614
37,238.217,0.72877,0.63438,1.11888,0.91746,0.83824,0.929,0.69367,0.88698,0.65582,1.24245,0.0005744,0.0005744,0.0005744
38,244.351,0.7302,0.6171,1.12314,0.89816,0.86029,0.92249,0.70213,0.88868,0.62388,1.25042,0.0005348,0.0005348,0.0005348
39,249.583,0.70465,0.59581,1.11614,0.88639,0.89706,0.93784,0.69431,0.93397,0.65512,1.25761,0.0004952,0.0004952,0.0004952
40,254.91,0.67468,0.58926,1.10005,0.87605,0.875,0.92672,0.70703,0.84991,0.63876,1.1886,0.0004556,0.0004556,0.0004556
41,261.925,0.60884,0.61197,1.05887,0.91094,0.80882,0.89679,0.67037,0.88017,0.69375,1.2524,0.000416,0.000416,0.000416
42,267.225,0.59365,0.52129,1.0651,0.93321,0.88971,0.94012,0.71446,0.82108,0.66929,1.19324,0.0003764,0.0003764,0.0003764
43,273.116,0.56725,0.49166,1.03255,0.90821,0.87308,0.93706,0.72291,0.77298,0.64425,1.1347,0.0003368,0.0003368,0.0003368
44,278.107,0.53861,0.44946,1.0095,0.89947,0.91912,0.9452,0.73057,0.77031,0.58661,1.15875,0.0002972,0.0002972,0.0002972
45,284.242,0.50663,0.41219,0.99378,0.92991,0.87798,0.94379,0.72196,0.79257,0.59288,1.18471,0.0002576,0.0002576,0.0002576
46,289.277,0.53404,0.44,1.02308,0.90326,0.89256,0.94432,0.73636,0.76424,0.56675,1.15625,0.000218,0.000218,0.000218
47,295.478,0.49588,0.38222,0.99754,0.92409,0.89517,0.94792,0.74007,0.75954,0.5525,1.15703,0.0001784,0.0001784,0.0001784
48,300.464,0.51175,0.39168,0.99678,0.89913,0.89706,0.94854,0.74453,0.7191,0.54836,1.12415,0.0001388,0.0001388,0.0001388
49,305.551,0.49436,0.40043,0.9896,0.8871,0.92438,0.95013,0.75113,0.70966,0.53945,1.12297,9.92e-05,9.92e-05,9.92e-05
50,311.098,0.48321,0.37252,0.99789,0.89892,0.93382,0.95292,0.75688,0.70511,0.53462,1.11661,5.96e-05,5.96e-05,5.96e-05
